"Tratamiento","Respuesta"
"B1",150
"B1",148
"B1",149
"B1",145
"B1",148
"B1",148
"B1",150
"B1",149
"B1",147
"B1",146
"B1",146
"B1",150
"B1",148
"B1",147
"B1",146
"B1",148
"B1",144
"B1",148
"B1",148
"B1",146
"B1",149
"B1",149
"B1",146
"B1",150
"B1",148
"B1",150
"B1",150
"B1",148
"B1",148
"B1",148
"B1",149
"B1",146
"B1",145
"B1",148
"B1",148
"B1",153
"B1",146
"B1",146
"B1",151
"B1",145
"B1",145
"B1",148
"B1",148
"B1",144
"B1",148
"B1",153
"B1",148
"B1",151
"B1",149
"B1",149
"B2",150
"B2",156
"B2",153
"B2",150
"B2",153
"B2",155
"B2",155
"B2",155
"B2",154
"B2",149
"B2",153
"B2",155
"B2",156
"B2",156
"B2",155
"B2",152
"B2",155
"B2",158
"B2",156
"B2",153
"B2",157
"B2",154
"B2",153
"B2",153
"B2",150
"B2",154
"B2",157
"B2",155
"B2",153
"B2",155
"B2",150
"B2",156
"B2",155
"B2",152
"B2",156
"B2",154
"B2",153
"B2",154
"B2",154
"B2",156
"B2",155
"B2",152
"B2",155
"B2",157
"B2",152
"B2",154
"B2",155
"B2",156
"B2",153
"B2",153
"B3",152
"B3",150
"B3",156
"B3",148
"B3",150
"B3",147
"B3",153
"B3",155
"B3",151
"B3",152
"B3",152
"B3",151
"B3",151
"B3",151
"B3",151
"B3",153
"B3",150
"B3",154
"B3",152
"B3",151
"B3",151
"B3",152
"B3",153
"B3",151
"B3",151
"B3",153
"B3",146
"B3",152
"B3",151
"B3",152
"B3",149
"B3",147
"B3",149
"B3",153
"B3",152
"B3",152
"B3",151
"B3",151
"B3",151
"B3",150
"B3",151
"B3",153
"B3",150
"B3",148
"B3",151
"B3",150
"B3",148
"B3",154
"B3",149
"B3",153
"B4",140
"B4",141
"B4",146
"B4",148
"B4",150
"B4",150
"B4",149
"B4",150
"B4",150
"B4",156
"B4",146
"B4",144
"B4",146
"B4",157
"B4",157
"B4",154
"B4",149
"B4",147
"B4",145
"B4",147
"B4",149
"B4",139
"B4",145
"B4",149
"B4",153
"B4",150
"B4",150
"B4",145
"B4",142
"B4",149
"B4",150
"B4",146
"B4",148
"B4",147
"B4",148
"B4",145
"B4",148
"B4",147
"B4",147
"B4",146
"B4",146
"B4",150
"B4",156
"B4",151
"B4",148
"B4",145
"B4",143
"B4",155
"B4",144
"B4",148
"B5",153
"B5",161
"B5",149
"B5",150
"B5",151
"B5",156
"B5",152
"B5",155
"B5",157
"B5",159
"B5",156
"B5",154
"B5",154
"B5",153
"B5",151
"B5",158
"B5",151
"B5",160
"B5",155
"B5",154
"B5",157
"B5",157
"B5",158
"B5",157
"B5",156
"B5",156
"B5",157
"B5",159
"B5",154
"B5",153
"B5",147
"B5",150
"B5",148
"B5",157
"B5",156
"B5",148
"B5",160
"B5",154
"B5",151
"B5",155
"B5",153
"B5",154
"B5",151
"B5",162
"B5",157
"B5",152
"B5",148
"B5",147
"B5",144
"B5",154
